Bathrooms,Bedrooms,Floor area,Furnishing,Parkings,Price,Swimming pool,Type,State,PostalCode
2,2,984,1,1,43000000,0,0,1,00700
2,2,1110,1,1,43000000,0,0,0,00700
2,2,1000,0,1,42000000,0,0,1,00700
2,2,1000,0,1,42000000,0,0,0,00700
1,1,700,1,1,27000000,0,0,0,00700
2,1,700,1,1,26000000,0,0,0,00700
1,1,530,0,1,19900000,1,0,1,00700
2,2,1300,1,1,250000,1,0,0,00700
3,3,1890,1,1,58000000,1,0,0,00800
3,3,1930,0,1,57000000,1,0,1,00800
2,3,1825,0,1,55000000,0,0,0,00800
3,3,1720,0,1,52000000,1,0,0,00800
3,3,1750,0,1,51000000,1,0,1,00800
3,3,2000,1,1,48000000,1,0,0,00800
2,3,1600,0,1,48000000,1,0,0,00800
2,3,1321,0,1,45500000,1,0,1,00800
2,3,1200,0,1,38000000,0,0,0,00800
2,2,1016,0,1,36500000,1,0,1,00800
1,1,1200,1,1,35000000,1,0,0,00800
1,1,1200,0,1,35000000,1,0,0,00800
2,2,930,0,1,33000000,1,0,0,00800
2,2,1100,0,1,27500000,0,0,0,00800
2,3,1500,0,1,27000000,0,0,0,00800
2,2,1150,1,1,27000000,0,0,0,00800
2,2,1100,1,1,27000000,0,0,0,00800
2,2,1100,0,1,26500000,0,0,0,00800
2,2,1150,1,1,26000000,0,0,0,00800
1,1,530,0,1,22000000,1,0,1,00800
1,1,540,0,1,20000000,1,0,0,00800
1,1,530,0,1,18900000,1,0,1,00800
2,3,1300,1,1,22000000,0,0,0,01300
2,3,1800,1,1,48000000,1,0,0,10107
2,3,1700,1,1,40000000,1,0,0,10107
2,3,1750,0,1,39000000,1,0,0,10107
2,2,1100,1,1,38000000,1,0,0,10107
3,3,1700,1,1,37000000,1,0,0,10107
4,4,2190,1,1,60000000,1,0,0,10107
2,3,1700,1,1,37000000,1,0,0,10107
2,2,1300,1,1,23000000,0,0,1,10107
3,3,1500,0,1,32000000,1,0,1,10107
2,3,1500,0,1,34000000,1,0,1,10107
2,2,1200,1,1,28000000,1,0,0,10107
2,3,1329,0,1,36000000,1,0,1,10107
2,3,1600,1,1,35000000,0,0,0,10107
3,3,1512,0,1,36000000,1,0,1,10107
2,3,1300,0,1,31500000,1,0,1,10107
2,3,1650,0,1,29000000,1,0,1,10107
3,3,1750,0,1,59000000,0,0,0,10107
3,3,1650,0,1,48000000,1,0,0,10107
2,3,1329,0,1,36000000,1,0,1,10107
2,3,1512,0,1,35000000,1,0,0,10107
2,3,1329,0,1,31000000,0,0,1,10107
2,3,1512,0,1,30000000,0,0,1,10107
2,3,1512,0,1,30000000,0,0,1,10107
2,3,1312,0,1,30000000,1,0,1,10107
2,3,1450,1,1,43000000,1,0,0,10107
3,3,1600,1,1,43000000,1,0,0,10107
3,3,1750,0,1,53000000,1,0,1,10107
3,3,1600,1,1,45000000,1,0,0,10107
2,3,1650,1,1,45000000,1,0,0,10107
3,3,1315,0,1,29000000,1,0,1,10107
3,3,1500,0,1,32000000,1,0,1,10107
3,3,1981,0,1,32000000,1,0,1,10107
2,2,1109,0,1,32000000,1,0,1,10107
2,3,1600,0,1,44000000,1,0,1,10107
3,3,1500,0,1,32000000,0,0,1,10107
3,1,1250,1,1,24000000,0,0,0,10107
2,3,1400,0,1,32000000,1,0,1,10107
2,3,1550,0,1,30000000,0,0,1,10107
2,2,1300,1,1,37500000,1,0,0,10107
3,3,1600,0,1,48000000,1,0,1,10107
